initial_url,initial_domain,url,domain,agency,bureau,issue
https://www2.abmc.gov,www2.abmc.gov,https://www.abmc.gov/,www.abmc.gov,American Battle Monuments Commission,American Battle Monuments Commission,suspected meta redirect
https://stageagingstats.acl.gov,stageagingstats.acl.gov,https://poopspagestorage.z13.web.core.windows.net/?1=1,poopspagestorage.z13.web.core.windows.net,Department of Health and Human Services,Administration for Community Living,suspected meta redirect
https://stagedata.acl.gov,stagedata.acl.gov,https://poopspagestorage.z13.web.core.windows.net/?1=1,poopspagestorage.z13.web.core.windows.net,Department of Health and Human Services,Administration for Community Living,suspected meta redirect
https://stagencapps.acl.gov,stagencapps.acl.gov,https://poopspagestorage.z13.web.core.windows.net/?1=1,poopspagestorage.z13.web.core.windows.net,Department of Health and Human Services,Administration for Community Living,suspected meta redirect
https://beta.ada.gov,beta.ada.gov,https://www.ada.gov/,www.ada.gov,Department of Justice,Civil Rights Division,suspected meta redirect
https://ahrq-blue.ahrq.gov,ahrq-blue.ahrq.gov,https://id.ahrq.gov/app/zscaler_private_access/exk7ajtt3jjvnpsxV297/sso/saml?SAMLRequest=hZJfT9swFMW%2FiuX3JE4gdWI1Rd0QGhLTujbwwAu6uBfqLrGDrxNVfHpC%2F2hMk%2BDR8rnnHN%2Bfpxe7tmEDejLOVjyNBWdotVsb%2B1zx2%2FoqKvjFbErQNlmn5n3Y2CW%2B9EiBjYOW1OGm4r23ygEZUhZaJBW0Ws1%2F3qgsFqrzLjjtGs7mROjDGPXdWepb9Cv0g9F4u7yp%2BCaEjlSSvFtSF7928OyG2GJIYMxNZCZyOTkvZFnISSryMiFynF2OXYyFsO9%2FsjDrGDb%2BJR4NEui65JU0NOgfOm8GCPgAWiNRgrs%2FErYhnG23g%2B1od5eV8t11X4GzK%2Bc17t9c8SdoCDm7vqz4fPlb5zI%2F0xDJSY7Rebp%2BjIqy0JFGXZYZllA%2B6VFLCyAyA%2F6dJurx2lIAGyqeiSyPRB5laS2ESguVyVjk4p6zxXFh34w9gPhsu48HEakfdb2IFr9WNWd3J6CjgB%2FxqX26%2F8jtc2M4weKzL9C0GGANAf5nNE0%2BZs%2BOx39%2F0uwN&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=t5qQrheUSO05ZYpdW9vDvq1nb9R0kuw7pdsJLN%2B6hpwjPMYFRZwkSbK69W73kmtCl38asugV3y6D5vVFeVeHJxw6iMaMoEPTphUOQP%2FgdQOR2Od7pTbEdXQxO25EQFcLQXfxb3Ff2qpmWw5GqqU6URPJqkjypSly4%2BQRAUbjSs%2B117GxcsjQgHVamvrRuRpK1x3MZqI2dZUHfrS5DuAjhYN4tpPQs77tMWbJAJA6Q4VKVIytkJH7ZZdVublBLklE8txkWILnAkDClenrNJ8M%2BaFkNChs9ZVFyRJzHHfXMibJ9XQ5HpZACqiKfLec0%2Fp%2FpTAvfI2kSBUUrxndFc%2BpuA%3D%3D,id.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,suspected meta redirect
https://ahrq-stage-admin.ahrq.gov,ahrq-stage-admin.ahrq.gov,https://id.ahrq.gov/app/zscaler_private_access/exk7ajtt3jjvnpsxV297/sso/saml?SAMLRequest=hZJLb9swEIT%2FisC7RIrRy4TlwG0QNECKuraSQy%2FBml7HciVS4VKCkV8fxQ80RYH0SHB2Zrgfp9eHtgkGdFRbU7I4EixAo%2B2mNs8le6huw4Jdz6YEbSM7Ne%2F9zizxpUfywThoSJ1uStY7oyxQTcpAi6S8Vqv593slI6E6Z73VtmHBnAidH6O%2BWkN9i26Fbqg1PizvS7bzviPF%2BbslddFrB892iAx6DmMuz6VI8ywp8kmRZ7FIJ5zIsuBm7FIb8Mf%2BF4t6E8HOvUSjAYeu46%2BkoUH31Ll6AI9PoDUScTz8zmHv%2FdV%2BP5iODo9ykr%2B7Hiuw4NY6jcc3l2wLDSEL7m5KNl%2F%2BTIXUcp2H62KrwyS92oYAmIRJgmmB8SRfy2TU0gKI6gH%2FTBP1eGfIg%2FElk0KmoUhDGVdCKJmpOIviLP3FgsV5YV9qcwLx2XbXJxGpb1W1CBc%2FVhULHi9ARwE741PHdPeR2%2BfGcIHFZv9B06KHDXj4l9GUf8yenY9%2F%2F6TZGw%3D%3D&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=uTaZ3s7URdtGoF7CkMSlySbeagGL%2BGMb%2BPOHun%2F%2FIqG0Ssa32AesQozXeWBR%2FRIQHNztObqFiHu%2F72Oup0aOLDQGLX%2Bxt2fku1f04qWYGjWGVeojviXYJ3maGYXTBMz%2FqeO4%2FyxqQQg1S77kkpdHAWNkaD9%2BB%2Bj%2FSa6ZsxHeMCNs6N%2F0ozpoRA38ePDqUrLgFrryjTK5YXpGM0%2BJL1UDifwKtt8h2e07Shg1cQ1smQq2A9ty1EnqyjxGgy0kftl0JrHlz03Rb4sR2rTh78SW1sd8jB%2BqTSdb9ERmqF9g5ifdZ8XmUpwW3GjeFCz%2F249iSiHqOJ%2Fk9HhCfIlV45c6kg%3D%3D,id.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,suspected meta redirect
https://cds.ahrq.gov,cds.ahrq.gov,https://digital.ahrq.gov/health-it-tools-and-resources/clinical-decision-support-cds,digital.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,suspected meta redirect
https://cdsic-preprod.ahrq.gov,cdsic-preprod.ahrq.gov,https://id.ahrq.gov/app/zscaler_private_access/exk7ajtt3jjvnpsxV297/sso/saml?SAMLRequest=hZLdbqMwEIVfBfkeDE4IYIVU2a2qVupqswntRW%2BqAaaNU7Cpx6CoT780P9quKrWXls%2Bcczyf5xf7tvEGtKSMzlkUhMxDXZla6eec3RVXfsouFnOCthGdXPZuq9f42iM5bxzUJI83OeutlgZIkdTQIklXyc3y160UQSg7a5ypTMO8JRFaN0b9NJr6Fu0G7aAqvFvf5mzrXEeS83dL6oK3Dp7NEGh0HMZcnogwTmbTNMnSZBaFccaJDPMuxy5Kgzv0P1uoOoCtfQ1GAw5dx9%2BoggbtY2fVAA4foaqQiOP%2BJYGdc5PdbtAd7e9Flry7Hiow78rYCg9vztkTNITMu7nM2XL9JxairBP041mI%2FhQmqV9mNfpVGWVlKUqs43TU0gqI1ID%2Fpol6vNHkQLuciVDEfhj7IirCqQwjOU0DMZs8MG91WtgPpY8gvtpueRSRvC6Klb%2F6vSmYd38GOgrYCZ88pNuP3L42hjMstvgGTYsOanDwmdGcf8xenI7%2F%2F6TFXw%3D%3D&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=AD1kWC1LTUYgR6VwqqgzGIbvLWKZZTPpAw2OAeUGjD%2BOC%2BWUH%2BdKEnJ3Jp%2Fs2idi9WX%2F%2FiX8l30%2Fm3ENJh04fktoPYcSK1RiGgcRP5f7rfbkCDJnL8jpnDmnmoK9frewgQHTZUCOSFYIvs9L6lz8GbV6Qu60GFF6P9y6y2mmYvUVuQr3SApKWvewkYk021dCEEkkIx%2BIECzkVPssiZLl4hMIcUIlWwSZFRIEvlNmoyc8Cq1q513jGhyYQJRmT3RrFnMCk9KW%2FMD80JbuSBehGpStzqm9fpcNqIk3FCrOD6HhswoI%2FOerVZxUZwTVWzdkr142BBor58DDrT%2FvUnQGFQ%3D%3D,id.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,suspected meta redirect
https://ehc-stage-admin.ahrq.gov,ehc-stage-admin.ahrq.gov,https://id.ahrq.gov/app/zscaler_private_access/exk7ajtt3jjvnpsxV297/sso/saml?SAMLRequest=hZLdTuMwEIVfxfJ9EsdtksZqirqLEEisttsGLrhBgzulKYkdPE5U8fQb%2BqNlhQSXls%2Bcczyfpxf7pmY9OqqsKXgcCs7QaLuuzHPB78qrYMIvZlOCppatmnd%2Ba5b42iF5NgwaUsebgnfOKAtUkTLQICmv1Wr%2B61bJUKjWWW%2B1rTmbE6HzQ9RPa6hr0K3Q9ZXGu%2BVtwbfet6Si6N2S2vCthWfbhwZ9BENulEmRZOl4kuWTLI1FkkdElrPLoUtlwB%2F6ny2qdQhb9xoOBhG0bfRGGmp0j62revD4CFojUYT7lwx23o92u960tL%2BXefbueqjA2ZV1Gg9vLvgGakLObi4LPl%2F%2BEUkMyRiDdJOJYDxO0iAfSRGkmKVyk%2BZrAXrQ0gKIqh7%2FTRN1eGPIg%2FEFl0ImgUgCGZdxrGSsRpNQpMkDZ4vTwn5U5gjiq%2B0%2BHUWkrstyESx%2Br0rO7s9ABwE%2F4VOHdPeR29fGcIbFZ9%2BgadDDGjx8ZjSNPmbPTsf%2Ff9LsLw%3D%3D&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=BMEujL7O44eHWz5xsLXINZfIncpR74rKFmGI%2BcPEZYsWxoPjCtuvhWobNYeIGBlh3UMsVw%2B3F9cMt5HlI5jjwbhZktKBwAYPPlCBFoZks51dLHrHrsUq7dg5Dk6swnDRxpznBfQ7lKKL9JcA8k%2BMIEsvrvbl30%2B51GOQvgwyG7CCgTpWbQpwWNisvg6y1RM0tY8gxG%2FDo0RSZbDV4JuBJWTrDaoRmAQ8DlzeXK2wHyBPxIibLE63m5mt58%2FmAxTN%2BdDSliPuT4ETToRTEuxf%2FJl0j9omDY2Qf8HoLLWYPw2U7pROMiu2wagU5Db37qN4vwhCdIxB%2FHeoecbGFoiQbg%3D%3D,id.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,suspected meta redirect
